total_pop,family_12_17_estimate_sum,median_income,college_associate_degree_est,bachelors_degree_est,normalised_pop,normalised_income,heavily_asian,highest_price_premier
24349,1664,43098,0.342,0.063,0.212145777,0.164035038,FALSE,FALSE
26590,2126,77740,0.373,0.289,0.231679785,0.304001584,FALSE,FALSE
38225,2508,26752,0.458,0.037,0.333097984,0.097991127,FALSE,FALSE
18818,1541,107972,0.344,0.394,0.163933998,0.426150092,FALSE,FALSE
20855,1300,30657,0.54,0.206,0.181689809,0.113768778,FALSE,FALSE
1295,0,92321,0.099,0.792,0.011192176,0.362914239,TRUE,FALSE
36908,2689,39915,0.429,0.038,0.321618159,0.151174536,FALSE,FALSE
702,86,56875,0.15,0,0.006023204,0.219699235,FALSE,FALSE
318,33,35729,1,0,0.002676011,0.134261541,FALSE,FALSE
662,49,48750,0.26,0.04,0.005674538,0.186871217,FALSE,FALSE
15150,1035,44155,0.251,0.068,0.131961333,0.168305711,FALSE,FALSE
659,49,51016,0.196,0.078,0.005648388,0.196026699,FALSE,FALSE
1022,24,31528,0.412,0,0.008812531,0.117287941,FALSE,FALSE
844,100,44882,1,0,0.007260968,0.171243061,FALSE,FALSE
2015,199,40721,0.209,0,0.017468162,0.154431075,FALSE,FALSE
47786,4459,108008,0.55,0.145,0.416437855,0.426295545,TRUE,FALSE
19700,1918,125265,0.461,0.176,0.171622081,0.496020234,TRUE,FALSE
68885,6513,71402,0.448,0.067,0.600350409,0.27839371,TRUE,FALSE
30364,2802,93511,0.497,0.076,0.264576414,0.367722281,TRUE,FALSE
66353,5533,100452,0.485,0.086,0.578279857,0.395766499,TRUE,FALSE
32048,3368,94389,0.457,0.042,0.27925525,0.371269727,TRUE,FALSE
17931,841,38387,0.589,0.189,0.156202331,0.145000848,FALSE,FALSE
35939,1395,60704,0.676,0.116,0.313171727,0.235169817,FALSE,FALSE
53130,3601,61723,0.438,0.112,0.463019621,0.239286955,FALSE,FALSE
16439,1116,70284,0.328,0.024,0.143197092,0.273876575,FALSE,FALSE
2800,106,36616,0.521,0.067,0.024310731,0.137845351,FALSE,FALSE
14620,923,53255,0.299,0.022,0.12734151,0.20507309,FALSE,FALSE
28687,2790,58990,0.295,0.085,0.249958596,0.22824462,FALSE,FALSE
9902,930,62106,0.388,0.034,0.086216365,0.240834417,FALSE,FALSE
24533,1591,77031,0.541,0.113,0.21374964,0.301136961,FALSE,FALSE
7801,426,37528,0.771,0.101,0.067902687,0.141530169,FALSE,FALSE
22030,481,77034,0.15,0.654,0.191931871,0.301149082,TRUE,FALSE
24026,1345,52232,0.468,0.059,0.2093303,0.20093979,TRUE,FALSE
50416,2426,46828,0.43,0.22,0.439362639,0.179105623,FALSE,FALSE
12871,272,26637,0.511,0.187,0.112096092,0.097526485,TRUE,FALSE
21996,661,67566,0.25,0.496,0.191635505,0.262894845,FALSE,FALSE
23855,1469,57875,0.384,0.122,0.207839753,0.223739606,TRUE,FALSE
10643,45,42938,0.27,0.551,0.092675401,0.163388579,TRUE,FALSE
47019,1344,75763,0.245,0.561,0.409752186,0.29601377,TRUE,FALSE
22493,324,65054,0.328,0.541,0.195967679,0.252745432,TRUE,FALSE
242,13,26375,1,0,0.002013546,0.096467907,FALSE,FALSE
118,20,31635,0,0,0.000932681,0.117720261,FALSE,FALSE
3982,148,37308,0,0,0.034613809,0.140641288,FALSE,FALSE
13845,1032,53141,0.795,0.037,0.120586107,0.204612488,FALSE,FALSE
1626,120,45769,0.351,0,0.014077386,0.17482687,FALSE,FALSE
28749,1812,54688,0.284,0.115,0.250499028,0.210862943,TRUE,FALSE
48234,5251,81031,0.474,0.12,0.420342913,0.317298446,FALSE,FALSE
27218,2775,128676,0.469,0.183,0.23715384,0.509801941,FALSE,FALSE
60794,3366,59533,0.426,0.22,0.529824011,0.230438542,TRUE,FALSE
44031,4332,120632,0.434,0.181,0.383706842,0.477301194,TRUE,FALSE
11081,1469,109962,0.478,0.111,0.096493293,0.434190431,FALSE,FALSE
26811,2703,97828,0.37,0.157,0.233606164,0.385164564,FALSE,FALSE
3091,179,33144,0.541,0.073,0.026847276,0.123817181,FALSE,FALSE
2430,237,37763,0.196,0.196,0.021085571,0.142479657,FALSE,FALSE
10194,966,42742,0.355,0.016,0.088761626,0.162596666,FALSE,FALSE
10947,700,27434,0.408,0,0.095325262,0.100746661,FALSE,FALSE
34509,1503,40411,0.69,0.074,0.30070692,0.15317856,FALSE,FALSE
17485,1115,40221,0.592,0.181,0.152314706,0.15241089,FALSE,FALSE
5242,413,29319,0.44,0,0.045596785,0.108362761,FALSE,FALSE
7092,199,13450,0.807,0.074,0.061722584,0.044246107,FALSE,FALSE
36764,4527,131564,0.349,0.066,0.320362961,0.521470534,FALSE,FALSE
1187,20,36406,0.448,0,0.010250778,0.136996873,FALSE,FALSE
3007,328,36703,0.282,0,0.026115077,0.138196863,FALSE,FALSE
5488,492,39135,0.352,0.065,0.047741081,0.148023046,FALSE,FALSE
1518,154,31488,0.529,0.021,0.013135988,0.117126326,FALSE,FALSE
3573,287,66859,0.805,0,0.0310487,0.260038303,FALSE,FALSE
21702,1603,39808,0.744,0.091,0.18907281,0.150742216,FALSE,FALSE
2026,122,49457,0.427,0,0.017564046,0.18972776,FALSE,FALSE
7685,542,40159,0.317,0.044,0.066891556,0.152160387,FALSE,FALSE
3493,209,70097,0.087,0,0.030351368,0.273121025,FALSE,FALSE
6832,575,98427,0.646,0.209,0.059456256,0.387584747,FALSE,FALSE
426,20,38194,0.675,0.325,0.003617409,0.144221057,FALSE,FALSE
24324,1360,35971,0.251,0.038,0.211927861,0.135239311,FALSE,FALSE
3366,254,67917,0.47,0.028,0.029244354,0.264313016,FALSE,FALSE
492,98,48036,0,0,0.004192708,0.183986392,FALSE,FALSE
28078,2546,58549,0.409,0.07,0.244650157,0.226462816,FALSE,FALSE
236,8,43553,0,0,0.001961246,0.165873407,FALSE,FALSE
1182,113,63618,0.406,0.094,0.010207195,0.246943459,FALSE,FALSE
462,54,51466,0.059,0,0.003931208,0.197844866,FALSE,FALSE
294,11,47969,0.143,0,0.002466811,0.183715687,FALSE,FALSE
551,53,58869,0.4,0.04,0.00470699,0.227755735,FALSE,FALSE
2341,83,68981,0.731,0.025,0.02030979,0.268611971,FALSE,FALSE
1007,94,46406,0.545,0,0.008681781,0.177400587,FALSE,FALSE
1080,77,60455,0.5,0.25,0.009318097,0.234163764,FALSE,FALSE
464,35,47404,0.8,0,0.003948642,0.181432877,FALSE,FALSE
940,66,52153,0.68,0.04,0.008097766,0.200620601,FALSE,FALSE
7668,315,43522,0.576,0,0.066743373,0.165748156,FALSE,FALSE
752,114,35484,0,0,0.006459036,0.13327165,FALSE,FALSE
11388,736,28388,0.376,0.021,0.099169303,0.104601175,FALSE,FALSE
59107,4654,41777,0.393,0.096,0.515119026,0.158697707,FALSE,FALSE
17739,1509,34574,0.262,0,0.154528734,0.129594912,FALSE,FALSE
32737,2070,82765,0.519,0.193,0.28526102,0.32430445,TRUE,FALSE
18904,472,63871,0.359,0.412,0.164683629,0.247965673,TRUE,FALSE
774,89,29375,0.437,0,0.006650802,0.108589022,FALSE,FALSE
957,54,46625,0.415,0,0.008245949,0.178285428,FALSE,FALSE
13312,1266,39963,0.255,0.092,0.115940134,0.151368474,FALSE,FALSE
8575,678,23224,0.486,0.012,0.074649373,0.083736697,FALSE,FALSE
393,12,25694,0.786,0,0.00332976,0.093716414,FALSE,FALSE
662,39,33563,0.326,0,0.005674538,0.125510097,FALSE,FALSE
651,105,90714,0,0.375,0.005578655,0.356421362,FALSE,FALSE
31653,3315,90414,0.588,0.125,0.275812174,0.355209251,TRUE,FALSE
7494,586,23415,0.107,0.062,0.065226676,0.084508408,FALSE,FALSE
18962,1811,43263,0.589,0.038,0.165189195,0.164701699,FALSE,FALSE
46629,3686,41762,0.5,0.032,0.406352693,0.158637102,FALSE,FALSE
36494,2283,53846,0.435,0.164,0.318009466,0.20746095,FALSE,FALSE
13290,751,27013,0.39,0.007,0.115748368,0.099045664,FALSE,FALSE
14117,499,51546,0.488,0.087,0.122957036,0.198168096,FALSE,FALSE
26414,1212,25729,0.323,0.103,0.230145655,0.093857827,FALSE,FALSE
13046,735,28010,0.229,0.054,0.113621506,0.103073915,FALSE,FALSE
13988,1522,94504,0.32,0.331,0.121832588,0.37173437,FALSE,FALSE
14221,726,35077,0.64,0.223,0.123863567,0.131627219,TRUE,FALSE
27093,2074,28238,0.369,0.051,0.236064259,0.103995119,FALSE,FALSE
24546,1640,50192,0.372,0.118,0.213862957,0.192697433,TRUE,FALSE
51382,3895,48841,0.45,0.086,0.447782921,0.187238891,FALSE,FALSE
34172,2145,45130,0.457,0.229,0.29776941,0.172245073,TRUE,FALSE
27984,2154,45238,0.394,0.102,0.243830792,0.172681433,FALSE,FALSE
33825,1548,68724,0.163,0.6,0.294744733,0.267573595,FALSE,FALSE
43575,2064,48704,0.259,0.138,0.37973205,0.18668536,FALSE,FALSE
17454,524,86346,0.36,0.164,0.15204449,0.33877302,TRUE,FALSE
6870,373,24874,0.052,0,0.059787488,0.09040331,FALSE,FALSE
5804,294,31875,0.303,0.007,0.050495541,0.11868995,FALSE,FALSE
2630,87,32050,0.487,0.044,0.022828901,0.119397015,FALSE,FALSE
9874,786,36512,0.471,0.067,0.085972298,0.137425152,FALSE,FALSE
26982,2198,51828,0.457,0.079,0.235096711,0.19930748,FALSE,FALSE
1172,120,41689,0.393,0,0.010120028,0.158342155,FALSE,FALSE
8119,751,37515,0.371,0.003,0.070674581,0.141477645,FALSE,FALSE
3222,198,52727,0.347,0.076,0.027989156,0.202939774,FALSE,FALSE
651,85,46563,0.167,0,0.005578655,0.178034925,FALSE,FALSE
208,8,47734,0.333,0,0.00171718,0.1827662,FALSE,FALSE
237,0,75625,0,0,0.001969962,0.295456198,FALSE,FALSE
4129,260,59673,0.283,0.089,0.035895156,0.231004194,FALSE,FALSE
16052,1155,49792,0.384,0.079,0.139823749,0.191081284,FALSE,FALSE
3210,265,39643,0.528,0.009,0.027884557,0.150075555,FALSE,FALSE
6039,469,42138,0.372,0.049,0.052543954,0.160156282,FALSE,FALSE
43916,1682,39608,0.614,0.233,0.382704427,0.149934142,TRUE,FALSE
17768,892,33504,0.357,0.116,0.154781517,0.125271715,FALSE,FALSE
169,12,51667,0.273,0,0.00137723,0.198656981,FALSE,FALSE
10386,840,58288,0.274,0.09,0.090435222,0.22540828,FALSE,FALSE
14360,916,38259,0.222,0.062,0.125075181,0.144483681,FALSE,FALSE
2415,174,45278,0.324,0,0.020954822,0.172843048,FALSE,FALSE
6621,438,32871,0.207,0,0.057617043,0.12271416,FALSE,FALSE
1158,89,33060,0,0,0.009997995,0.12347779,FALSE,FALSE
890,29,53591,0,0,0.007661934,0.206430655,FALSE,FALSE
13870,233,50914,0.203,0.395,0.120804024,0.195614581,FALSE,FALSE
29374,2436,50934,0.605,0.098,0.255946933,0.195695388,FALSE,FALSE
11673,691,139763,0.369,0.286,0.101653548,0.554597539,TRUE,FALSE
2947,115,81771,0.337,0.663,0.025592078,0.320288321,TRUE,FALSE
23092,1253,115493,0.671,0.072,0.201188951,0.456537725,TRUE,FALSE
9105,575,105893,0.523,0.125,0.079269196,0.41775016,TRUE,FALSE
6808,571,122283,0.337,0.18,0.059247056,0.483971847,TRUE,FALSE
9046,697,102276,0.451,0.256,0.078754914,0.403136136,TRUE,FALSE
1412,76,83438,0.533,0,0.012212024,0.32702362,TRUE,FALSE
5267,506,201731,0.203,0.445,0.045814701,0.804971273,TRUE,FALSE
17728,1154,45579,0.541,0.028,0.154432851,0.1740592,FALSE,FALSE
15281,1121,49302,0.263,0.054,0.133103214,0.189101502,FALSE,FALSE
517,31,22321,0,1,0.004410624,0.080088242,FALSE,FALSE
18455,1465,35340,0.364,0.031,0.160769854,0.132689837,FALSE,FALSE
52049,4134,55544,0.387,0.029,0.453596925,0.2143215,FALSE,FALSE
43690,2983,44159,0.427,0.047,0.380734465,0.168321872,FALSE,FALSE
17777,1779,114546,0.504,0.111,0.154859967,0.452711493,FALSE,FALSE
75581,6801,42100,0.373,0.026,0.658717084,0.160002747,FALSE,FALSE
1001,136,32723,0.17,0,0.008629481,0.122116185,FALSE,FALSE
284,6,36016,0,0,0.002379645,0.135421128,FALSE,FALSE
25875,1951,59221,0.285,0.032,0.225447382,0.229177946,FALSE,FALSE
1210,135,28224,0.143,0,0.010451261,0.103938554,FALSE,FALSE
3036,246,32878,0.56,0,0.02636786,0.122742442,FALSE,FALSE
5876,474,53850,0.24,0.012,0.05112314,0.207477111,FALSE,FALSE
3283,238,29274,0.13,0,0.028520872,0.108180944,FALSE,FALSE
11477,657,61377,0.561,0.135,0.099945085,0.237888987,FALSE,FALSE
18680,962,41371,0.64,0.109,0.1627311,0.157057317,FALSE,FALSE
26557,283,22342,0.738,0.092,0.231392136,0.08017309,TRUE,FALSE
19644,1699,70890,0.372,0.07,0.171133949,0.27632504,FALSE,FALSE
25756,1791,48237,0.548,0.077,0.224410101,0.184798507,FALSE,FALSE
18031,1196,77500,0.369,0.045,0.157073996,0.303031895,FALSE,FALSE
2443,184,53036,0.636,0.058,0.021198888,0.204188249,FALSE,FALSE
4489,365,77394,0.181,0.133,0.039033149,0.302603615,FALSE,FALSE
12705,1389,64308,0.363,0.147,0.110649129,0.249731315,FALSE,FALSE
1494,131,46618,0.17,0,0.012926789,0.178257145,FALSE,FALSE
27298,1469,41179,0.42,0.027,0.237851172,0.156281565,FALSE,FALSE
989,86,29773,0.065,0,0.008524882,0.110197089,FALSE,FALSE
26753,2404,46144,0.419,0.005,0.233100599,0.176342009,FALSE,FALSE
1527,88,64671,0,0.656,0.013214438,0.25119797,FALSE,FALSE
15214,1257,41738,0.355,0.054,0.132519198,0.158540133,FALSE,FALSE
20130,1421,36080,0.465,0.019,0.17537024,0.135679712,TRUE,FALSE
30983,1981,42555,0.386,0.033,0.26997202,0.161841116,FALSE,FALSE
888,94,46607,0.12,0,0.0076445,0.178212701,FALSE,FALSE
809,64,46979,0.264,0,0.006955885,0.179715719,FALSE,FALSE
6427,616,44143,0.463,0.082,0.055926013,0.168257226,FALSE,FALSE
379,21,44569,0.429,0,0.003207726,0.169978424,FALSE,FALSE
6645,357,43900,0.246,0.208,0.057826242,0.167275416,FALSE,FALSE
3743,350,58141,0.357,0,0.03253053,0.224814345,FALSE,FALSE
762,30,38750,0.429,0,0.006546203,0.146467503,FALSE,FALSE
1872,154,49861,0.562,0,0.016221682,0.19136007,FALSE,FALSE
10368,840,47999,0.42,0.014,0.090278323,0.183836898,FALSE,FALSE
744,55,35368,0,0.5,0.006389303,0.132802967,FALSE,FALSE
2229,207,48984,0.422,0.1,0.019333525,0.187816664,FALSE,FALSE
6457,536,52593,0.293,0.051,0.056187513,0.202398364,FALSE,FALSE
16444,828,43415,0.763,0.049,0.143240675,0.165315836,FALSE,FALSE
897,13,44063,0.16,0.173,0.00772295,0.167933996,FALSE,FALSE
151,0,41591,0,0,0.001220331,0.157946198,FALSE,FALSE
15637,1030,62179,0.446,0.125,0.13620634,0.241129365,FALSE,FALSE
39863,2923,43968,0.379,0.095,0.347375853,0.167550161,FALSE,FALSE
7350,762,51339,0.582,0.048,0.063971479,0.197331739,FALSE,FALSE
49,3,71250,0,0,0.000331233,0.277779573,FALSE,FALSE
187,14,55893,0.6,0.067,0.00153413,0.21573159,FALSE,FALSE
1515,103,51914,0.4,0.071,0.013109838,0.199654952,FALSE,FALSE
22171,1730,57673,0.294,0.145,0.193160918,0.222923451,FALSE,FALSE
1129,90,81729,0.57,0.183,0.009745212,0.320118625,FALSE,FALSE
13242,837,52275,0.206,0.101,0.115329969,0.201113526,FALSE,FALSE
3290,287,59923,0.453,0,0.028581889,0.232014287,FALSE,FALSE
2880,178,42059,0.54,0.034,0.025008063,0.159837092,FALSE,FALSE
1140,74,49423,0.361,0.066,0.009841096,0.189590387,FALSE,FALSE
46,0,27250,0,0,0.000305083,0.100003232,FALSE,FALSE
42,0,26875,0.714,0,0.000270216,0.098488093,FALSE,FALSE
1170,190,130347,1,0,0.010102595,0.516553402,TRUE,FALSE
625,58,59583,0.348,0.174,0.005352022,0.23064056,FALSE,FALSE
466,33,45000,0,0.267,0.003966075,0.171719824,FALSE,FALSE
12627,1027,93828,0.454,0.176,0.10996923,0.369003079,TRUE,FALSE
1705,117,161369,0.556,0.049,0.014766002,0.641893803,FALSE,FALSE
524,44,48750,0.587,0.109,0.00447164,0.186871217,FALSE,FALSE
39943,4284,56163,0.452,0.033,0.348073185,0.21682249,FALSE,FALSE
74561,7736,38316,0.378,0.021,0.649826103,0.144713982,FALSE,FALSE
21933,1691,37655,0.378,0.045,0.191086356,0.142043297,FALSE,FALSE
